company,count
Meta,29
NVIDIA,9
Red Hat,6
AMD,5
Hugging Face,5
IBM,5
Huawei,4
Intel,4
Amazon Web Services,3
Google,3
Anyscale,2
Arm,2
IBM Research,2
Intel Corporation,2
Lightning AI,2
Meta Platform Inc.,2
Pinterest,2
RadixArk,2
Amazon.com,1
Annapurna Labs,1
Apple,1
Argonne National Laboratory,1
AWS Annapurna Labs,1
Beijing Academy of Artificial Intelligence,1
Bird of Paradise AI,1
BosonAI,1
ByteDance,1
Capital One,1
Dell,1
Everpure,1
Fujitsu Research of India Private Limited,1
Google Inc,1
HuggingFace,1
Lemurian Labs,1
LinkedIn,1
MathWorks,1
Meta Platforms,1
"Meta, PyTorch Distributed",1
Mistral AI,1
Modular,1
NVIDIA Corporation,1
Rebellions,1
Red Hat LLC,1
RedHat,1
Rerun,1
SimplexLab,1
"Tensormesh, Inc.",1
Uber,1
UC Berkeley,1
UC Davis,1
University of Genoa,1
University of Minnesota,1
