Company,Count
Meta,30
NVIDIA,10
Red Hat,8
IBM,6
Intel,6
AMD,5
Amazon Web Services,5
Google,5
Hugging Face,5
Arm,4
Huawei,4
IBM Research,2
Lightning AI,2
Meta Platform Inc.,2
Pinterest,2
PyTorch Foundation,2
RadixArk,2
AWS Annapurna Labs,1
Adaption,1
Agentic AI Foundation,1
Amazon.com,1
Annapurna Labs,1
Anyscale,1
Apple,1
Argonne National Laboratory,1
Beijing Academy of Artificial Intelligence,1
Bird of Paradise AI,1
BosonAI,1
ByteDance,1
Capital One,1
Cohere,1
Core Automation,1
Crusoe,1
Crusoe AI,1
Dell,1
Everpure,1
Fujitsu Research of India Private Limited,1
Google Cloud,1
Google Inc,1
Inferact,1
Lemurian Labs,1
LinkedIn,1
MathWorks,1
Meta Platforms,1
Meta PyTorch,1
"Meta, PyTorch Distributed",1
Mistral AI,1
Modal,1
Modular,1
NVIDIA Corporation,1
Qualcomm,1
Rebellions,1
Red Hat LLC,1
RedHat,1
Rerun,1
SimplexLab,1
"Tensormesh, Inc.",1
UC Berkeley,1
UC Davis,1
Uber,1
University of Genoa,1
University of Minnesota,1
