Talk Title,Speaker 1 Name,Speaker 1 Company,Speaker 2 Name,Speaker 2 Company,Speaker 3 Name,Speaker 3 Company
"FlexMoE: Authoring Memory-Adaptive Kernels for Dropless, CUDA-Graphable MoE",Simon Fan,Meta PyTorch,,,,
"Reinforcement Learning Using Simple Code, Running Distributed at Full Speed",Thomas Viehmann,Lightning AI,Teja Pulagam,Lightning AI,,
Sponsored Keynote: HOLD AMD,,,,,,
Sponsored Keynote: HOLD IBM,,,,,,
Sponsored Keynote: HOLD NVIDIA,,,,,,
Registration & Badge Pick-Up,,,,,,
Keynote: Welcome to PyTorch Conference North America,Mark Collier,PyTorch Foundation,,,,
Keynote: PyTorch Updates,Alban Desmaison,,Edward Yang,Meta,,
Sponsored Keynote: Trainium’s Journey to Native PyTorch,Maen Suleiman,Amazon Web Services,,,,
Keynote: Beyond Brute Force: The Era of Adaptive Intelligence.,Sara Hooker,Adaption,,,,
Sponsored Keynote: PyTorch at Meta - From Internal Workloads to Multi-Silicon Ecosystem,Jana van Greunen,Meta,,,,
"Keynote: Simon Mo, Inferact",Simon Mo,Inferact,,,,
"Keynote: Brian Stevens, SVP and AI CTO, Red Hat",Brian Stevens,Red Hat,,,,
Keynote Sessions to be Announced,,,,,,
"Keynote: Ujval Kapasi, VP, AI & HPC Frameworks and Libraries, NVIDIA",Ujval Kapasi,NVIDIA,,,,
Coffee Break,,,,,,
Community Expo,,,,,,
Contributing to PyTorch with AI agents,Edward Yang,Meta,,,,
Sponsored: Unifying Open-Source LLM Serving on Google Cloud TPUs with TorchTPU,Rob Mulla,Google,,,,
Sponsored: PyTorch Ecosystem Running Natively on Trainium,Maen Suleiman,Amazon Web Services,,,,
How PyTorch Powers Open Foundational Models — From Language to Vision,Elisa Cascardi,Meta,Nikhila Ravi,Meta,,
Extending TorchInductor with FlyDSL: A New MLIR-Native Backend for High-Performance GEMMs,Liz Li,AMD,,,,
Monarch - Single-Machine DevX at Distributed Scale,Marius Eriksen,Meta,,,,
Who Owns Production When the Agent Does the Fixing? Governance in AI-Assisted SRE,Prakshal Doshi,Apple,Aditi Mewada,Apple,,
Relay and Reuse: The Dual Engine Behind PyTorch Out-of-Tree Release Readiness,Jiahao Chen,Huawei,Jiahao Tan,Huawei,,
Sponsored: Cloud TPU Nexus: Autonomous Multi-Agent Swarms for PyTorch,Sandeep Pokkunuri,Google,Chris Jones,Google,,
"Helion: CuteDSL and TPU Backends for Heterogeneous Hardware, and Why It Suits Agents",Oguz Ulgen,Meta,Dunfan Lu,Meta,Jason Ansel,Meta
A Developer’s Guide to Attention in vLLM,Lucas Wilkinson,RedHat,Matthew Bonanni,Red Hat,,
Practical GPU Programming with Triton for PyTorch Developers,Suman Debnath,Crusoe AI,JanakiRam Goteti,Crusoe AI,,
"Compute, Latency, and Safety: Architecting Stateful Guardrails for Multi-Agent Workflows",Purva Chiniya,Amazon.com,,,,
Shipping PyTorch and Its Ecosystem: A Modern Release Story,Andrey Talman,Meta,,,,
Privacy-Preserving AI Across Institutions: Federated Learning Lessons for Medical Imaging,Sudhanshu Shrivastava,UC Davis,,,,
Scaling PyTorch's Compatibility Promise: A Tiered Cross-Repository CI Relay for Out-of-Tree Backends,Subin George,Red Hat LLC,Jewel K M,Red Hat,,
"The Nemotron Ecosystem: Building the Third Generation — Nano, Super, and Ultra",Marc Romeyn,NVIDIA,,,,
High-Velocity GPU Kernel Authoring with CUTLASS Python,Michael Goldfarb US,NVIDIA,Guray Ozen,NVIDIA,,
Understanding Modern Vision Language Models,Aastha Jhunjhunwala,NVIDIA,Mark Moyou,NVIDIA,,
"Sponsored: Hardware-Aware AI: Building Agentic Systems from Cloud to Edge with PyTorch, ExecuTorch",Kavya Sri Chennoju,Arm,,,,
Closing the Confidence Gap: Making AI Output Trustworthy in Enterprise Systems,Ravi Teja Prabhala Venkata,Capital One,,,,
"PyTorch Generalization: A Journey Toward Write Once, Run Anywhere",Yu Guangye,Intel,Eikan Wang,Intel,,
"Fighting Agents with Agents  Bringing Claude to PyTorch CI, triage, and PR review",Driss Guessous,Meta,,,,
Attendee Lunch,,,,,,
Women and Non-Binary in PyTorch Lunch,,,,,,
From Neurons to Atoms: How PyTorch Powers Open Science at Scale,Elisa Cascardi,Meta,,,,
Smarter Autotuning for Kernels: From Bayesian Optimization to LLM-Guided Search in Helion DSL,Jongsok Choi,Meta,Ethan Che,Meta,,
From Scratch to PyTorch: Demystifying ML Frameworks by Building Your Own,Andrea Mattia Garavagno,University of Genoa,Vijay Janapa Reddi,Harvard University,,
State-of-the-Art KV Transfer for Disaggregated LLM Serving in vLLM,Nicolò Lucchesi,Mistral AI,Sunita Nadampalli,Amazon,Zhanqiu Hu,Red Hat
"Fast, Small, Accurate: Optimizing Models for Inference using FP4 Quantization",Zhiyu Cheng US,NVIDIA,Trenton Starkey,NVIDIA,,
KernelAgent: Hardware-Guided GPU Kernel Optimization via Multi-Agent Orchestration,Kaiming Cheng,Meta,Laura Wang,Meta,,
Sponsored: Fighting RL-trained LLMs in Street Fighter III: 3rd Strike,Andrew Hinh,Modal,,,,
From Fragmented AI to End-to-End Radiology Reports: Scalable Clinical LLMs with TorchTitan,Jonathan Deonarine,Dell,Khushboo Rathi,Dell Technology,Eric Karl,Medikamind Inc
"What You Cannot Profile, You Cannot Optimize: Learning to Read PyTorch Traces",Aritra Roy Gosthipaty,Hugging Face,Suvaditya Mukherjee,Hugging Face,,
Native Tiered KV Cache Offloading in vLLM: From Storage Offloading to Disaggregated Serving,Or Ozeri,IBM,,,,
SGLang-Diffusion: High Performance Serving Framework for Offline and Real-time Diffusion Models,Yihao Wang,RadixArk,,,,
Scaling Foundation Models: From Broken to Near-Linear Multi-Node Training,Sheng Huang,Pinterest,,,,
Model Training with TorchTitan and HuggingFace Transformers v5 on AWS Trainium via TorchNeuron,Maen Suleiman,Amazon Web Services,Michael Benayoun,Hugging Face,,
"Ray All the Way Down: A Heterogeneous, Elastic PyTorch Training Stack at LinkedIn",Tommy Li,LinkedIn,Tao Huang,LinkedIn,,
PerfModel: A Validation-Driven Performance Model for Triton Kernels,Xiaohu Guo,AMD,,,,
From Math Panic to PyTorch Confidence,Yashasvi Misra,Everpure,,,,
Faster LLM Serving Startup with fastsafetensors,Takeshi Yoshimura,IBM,,,,
Sponsored: Making Enterprise Agentic Inference Production-Ready with PyTorch and vLLM,Joseph Groenenboom,Red Hat,Tyler Michael Smith,Red Hat,,
EP-Overlap: Hiding Expert-Parallel Communication in MoE Training,Sanket Jayant Purandare,Meta,,,,
Gain Geospatial Understanding with the PyTorch Ecosystem,Steven Pousty,Red Hat,,,,
LMCache: a cluster-wide open-source solution for LLM prompt caching,Kuntai Du,"Tensormesh, Inc.",,,,
Keeping GPUs Busy: High-Speed Storage for PyTorch via fsspec,Ankita Luthra,Google Inc,Trinadh Kotturu,Google,,
Coffee Break,,,,,,
Guardrails at the Infrastructure Layer: Sandboxing and governing Agentic AI in production,Sai Charan Teja Gopaluni,Amazon Web Services,Aaresh Sharma,Amazon Web Services,,
"Sponsored: From Prompt to Physical Action: A Live Hardware-Aware AI Demo with PyTorch, ExecuTorch",Kavya Sri Chennoju,Arm,,,,
Sponsored: Quantization Showdown: PyTorch Inference Optimization,Markell Rawls,Red Hat,,,,
Agentic RL Training in Pytorch,Yichuan Wang,Meta,Shuhua Yu,Meta,,
